Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Vince Williams Jr.,SG,23,MEM,16,2,277,26,58,0.448,18,46,0.391,8,12,0.667,0.603,19,23,0.826,11,55,66,20,6,9,11,36,89
Ziaire Williams,SF,22,MEM,22,8,441,57,150,0.38,24,74,0.324,33,76,0.434,0.46,24,27,0.889,14,74,88,29,10,5,26,39,162
Zion Williamson,PF,23,NOP,21,21,651,189,324,0.583,2,6,0.333,187,318,0.588,0.586,99,150,0.66,41,81,122,98,22,6,54,54,479
Jalen Wilson,PF,23,BRK,5,0,36,4,6,0.667,1,1,1,3,5,0.6,0.75,2,2,1,3,4,7,2,0,1,1,1,11
Dylan Windler,SF,27,NYK,3,0,7,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,0,1,1,1,0,0,0,1,3
James Wiseman,C,22,DET,16,0,217,48,69,0.696,0,1,0,48,68,0.706,0.696,15,22,0.682,21,43,64,11,4,10,14,37,111
Christian Wood,PF,28,LAL,24,1,485,63,136,0.463,17,61,0.279,46,75,0.613,0.526,34,55,0.618,24,119,143,23,5,14,29,40,177
Delon Wright,PG,31,WAS,8,0,141,11,30,0.367,4,11,0.364,7,19,0.368,0.433,14,16,0.875,3,17,20,35,13,1,4,6,40
Thaddeus Young,PF,35,TOR,4,0,13,2,4,0.5,0,0,,2,4,0.5,0.5,0,2,0,1,2,3,3,0,0,1,0,4
Trae Young,PG,25,ATL,23,23,825,201,470,0.428,78,206,0.379,123,264,0.466,0.511,164,188,0.872,14,53,67,248,31,4,96,39,644
Omer Yurtseven,C,25,UTA,18,6,227,35,68,0.515,3,13,0.231,32,55,0.582,0.537,6,8,0.75,30,57,87,13,4,10,19,31,79
Cody Zeller,C,31,NOP,20,0,189,11,34,0.324,0,1,0,11,33,0.333,0.324,13,24,0.542,22,35,57,21,4,2,6,24,35
Ivica Zubac,C,26,LAC,25,25,673,129,209,0.617,0,0,,129,209,0.617,0.617,41,69,0.594,77,149,226,25,5,37,30,71,299
