Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Paolo Banchero,PF,21,ORL,24,24,804,180,374,0.481,29,76,0.382,151,298,0.507,0.52,101,149,0.678,33,128,161,109,24,14,78,53,490
Desmond Bane,SG,25,MEM,23,23,796,211,451,0.468,77,203,0.379,134,248,0.54,0.553,74,86,0.86,26,82,108,119,30,16,68,74,573
Dalano Banton,PG,24,BOS,11,1,91,13,27,0.481,1,7,0.143,12,20,0.6,0.5,5,6,0.833,10,15,25,5,2,2,5,12,32
Dominick Barlow,PF,20,SAS,7,0,35,3,7,0.429,0,0,,3,7,0.429,0.429,2,4,0.5,0,5,5,0,1,0,0,2,8
Harrison Barnes,PF,31,SAC,24,24,731,93,198,0.47,42,109,0.385,51,89,0.573,0.576,43,52,0.827,23,57,80,36,17,4,19,26,271
Scottie Barnes,SG,22,TOR,25,25,872,190,390,0.487,51,132,0.386,139,258,0.539,0.553,74,101,0.733,66,156,222,143,41,31,61,51,505
RJ Barrett,SG,23,NYK,20,20,586,131,305,0.43,37,105,0.352,94,200,0.47,0.49,82,97,0.845,14,64,78,49,9,6,33,28,381
Charles Bassey,C,23,SAS,19,0,205,29,40,0.725,0,1,0,29,39,0.744,0.725,5,6,0.833,23,53,76,21,8,17,15,31,63
Emoni Bates,SF,20,CLE,7,0,52,4,15,0.267,3,12,0.25,1,3,0.333,0.367,1,2,0.5,1,8,9,2,1,1,1,2,12
Keita Bates-Diop,SF,28,PHO,22,8,387,41,103,0.398,10,40,0.25,31,63,0.492,0.447,23,32,0.719,20,48,68,19,12,15,6,20,115
Nicolas Batum,PF,35,TOT,19,13,451,39,70,0.557,25,52,0.481,14,18,0.778,0.736,7,11,0.636,17,52,69,40,12,13,7,35,110
Nicolas Batum,PF,35,LAC,3,0,54,3,8,0.375,2,7,0.286,1,1,1,0.5,0,0,,0,7,7,5,3,4,1,5,8
Nicolas Batum,PF,35,PHI,16,13,397,36,62,0.581,23,45,0.511,13,17,0.765,0.766,7,11,0.636,17,45,62,35,9,9,6,30,102
Bradley Beal,SG,30,PHO,6,6,151,31,69,0.449,9,21,0.429,22,48,0.458,0.514,17,24,0.708,3,17,20,19,4,2,14,13,88
Malik Beasley,SG,27,MIL,24,24,727,104,215,0.484,71,155,0.458,33,60,0.55,0.649,8,12,0.667,17,89,106,35,23,4,16,50,287
MarJon Beauchamp,SF,23,MIL,21,1,356,44,91,0.484,17,39,0.436,27,52,0.519,0.577,11,18,0.611,14,41,55,18,7,4,17,34,116
Jules Bernard,SG,24,WAS,2,0,10,1,5,0.2,0,3,0,1,2,0.5,0.2,0,0,,1,0,1,1,0,0,1,1,2
D?vis Bert?ns,PF,31,OKC,9,0,71,7,19,0.368,7,18,0.389,0,1,0,0.553,14,15,0.933,1,7,8,7,2,2,1,10,35
Patrick Beverley,PG,35,PHI,25,1,428,41,96,0.427,16,51,0.314,25,45,0.556,0.51,17,26,0.654,20,49,69,58,14,6,16,44,115
Saddiq Bey,SF,24,ATL,25,13,781,115,247,0.466,44,124,0.355,71,123,0.577,0.555,41,51,0.804,54,102,156,33,27,4,29,39,315
Goga Bitadze,C,24,ORL,22,19,467,67,110,0.609,1,5,0.2,66,105,0.629,0.614,34,48,0.708,50,87,137,40,14,35,18,53,169
Onuralp Bitim,SG,24,CHI,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Bismack Biyombo,C,31,MEM,19,17,471,47,82,0.573,0,0,,47,82,0.573,0.573,19,37,0.514,43,86,129,37,6,22,25,55,113
Anthony Black,PG,20,ORL,22,18,431,44,87,0.506,10,31,0.323,34,56,0.607,0.563,16,25,0.64,14,42,56,34,8,8,21,46,114
Leaky Black,SF,24,CHO,5,0,25,3,6,0.5,1,2,0.5,2,4,0.5,0.583,0,0,,0,3,3,3,2,3,1,1,7
Bogdan Bogdanovi?,SG,31,ATL,24,2,671,151,325,0.465,82,200,0.41,69,125,0.552,0.591,35,38,0.921,10,71,81,61,35,7,29,63,419
Bojan Bogdanovi?,PF,34,DET,7,6,212,49,100,0.49,20,50,0.4,29,50,0.58,0.59,26,34,0.765,3,13,16,18,9,0,13,9,144
Bol Bol,PF,24,PHO,6,0,15,2,3,0.667,0,1,0,2,2,1,0.667,0,0,,0,3,3,0,0,1,2,1,4
Marques Bolden,C,25,MIL,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,2,2,0,0,0,0,1,0
Devin Booker,SG,27,PHO,16,16,564,148,306,0.484,32,78,0.41,116,228,0.509,0.536,122,133,0.917,16,78,94,133,11,7,49,55,450
Brandon Boston Jr.,SF,22,LAC,1,0,5,1,3,0.333,1,3,0.333,0,0,,0.5,0,0,,0,2,2,2,0,0,0,1,3
Chris Boucher,PF,31,TOR,23,0,326,49,111,0.441,15,45,0.333,34,66,0.515,0.509,35,45,0.778,27,57,84,8,8,14,11,38,148
James Bouknight,SG,23,CHO,2,0,12,5,8,0.625,4,7,0.571,1,1,1,0.875,0,0,,1,1,2,0,0,0,0,1,14
Jamaree Bouyea,PG,24,POR,6,0,57,5,21,0.238,0,8,0,5,13,0.385,0.238,0,0,,2,8,10,8,0,0,8,3,10
Malaki Branham,SG,20,SAS,24,12,521,87,197,0.442,24,78,0.308,63,119,0.529,0.503,12,13,0.923,6,35,41,58,11,4,28,33,210
Christian Braun,SG,22,DEN,27,0,550,93,193,0.482,19,49,0.388,74,144,0.514,0.531,35,46,0.761,22,82,104,49,11,9,21,46,240
Mikal Bridges,SF,27,BRK,25,25,873,200,418,0.478,56,143,0.392,144,275,0.524,0.545,101,117,0.863,26,115,141,93,24,12,62,41,557
Miles Bridges,SF,25,CHO,14,12,507,103,219,0.47,27,79,0.342,76,140,0.543,0.532,42,49,0.857,13,88,101,34,18,3,25,31,275
Oshae Brissett,SF,25,BOS,10,0,106,7,21,0.333,2,10,0.2,5,11,0.455,0.381,9,14,0.643,9,13,22,4,4,0,4,13,25
Malcolm Brogdon,PG,31,POR,17,10,460,98,234,0.419,34,89,0.382,64,145,0.441,0.491,43,56,0.768,15,47,62,94,14,3,28,23,273
Armoni Brooks,PG,25,BRK,7,0,64,9,27,0.333,7,19,0.368,2,8,0.25,0.463,0,0,,4,8,12,3,0,1,1,1,25
Dillon Brooks,SF,28,HOU,22,22,692,111,238,0.466,40,103,0.388,71,135,0.526,0.55,41,49,0.837,17,63,80,37,20,1,44,88,303
Bruce Brown,SG,27,IND,24,24,751,109,235,0.464,27,85,0.318,82,150,0.547,0.521,47,59,0.797,16,95,111,67,29,6,29,57,292
Charlie Brown Jr.,SG,26,NYK,1,0,2,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,2,0,0
Greg Brown III,PF,22,DAL,2,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,1,0,0,0,0,0
Jaylen Brown,SF,27,BOS,23,23,780,198,420,0.471,50,153,0.327,148,267,0.554,0.531,58,81,0.716,15,93,108,78,27,16,56,65,504
Kobe Brown,PF,24,LAC,16,0,157,15,38,0.395,8,25,0.32,7,13,0.538,0.5,1,2,0.5,6,22,28,7,2,3,2,29,39
Moses Brown,C,24,POR,5,0,35,6,12,0.5,0,0,,6,12,0.5,0.5,0,2,0,8,10,18,1,1,1,1,2,12
Troy Brown Jr.,SF,24,MIN,20,3,320,40,88,0.455,23,61,0.377,17,27,0.63,0.585,17,20,0.85,12,43,55,23,6,2,10,17,120
Jalen Brunson,PG,27,NYK,25,25,889,224,472,0.475,77,168,0.458,147,304,0.484,0.556,112,141,0.794,18,79,97,147,29,1,55,56,637
Thomas Bryant,C,26,MIA,17,3,205,35,65,0.538,0,3,0,35,62,0.565,0.538,15,18,0.833,19,45,64,10,6,5,13,22,85
Kobe Bufkin,SG,20,ATL,2,0,4,0,3,0,0,1,0,0,2,0,0,1,2,0.5,1,1,2,0,0,0,0,0,1
Reggie Bullock,SF,32,HOU,11,0,93,7,20,0.35,6,17,0.353,1,3,0.333,0.5,1,1,1,2,11,13,3,1,1,2,7,21
Alec Burks,SG,32,DET,19,0,336,50,146,0.342,32,91,0.352,18,55,0.327,0.452,47,54,0.87,9,33,42,27,7,4,8,25,179
Jared Butler,SG,23,WAS,12,0,98,16,34,0.471,5,16,0.313,11,18,0.611,0.544,10,12,0.833,0,8,8,22,7,1,10,14,47
Jimmy Butler,PF,34,MIA,22,22,748,149,321,0.464,19,50,0.38,130,271,0.48,0.494,163,184,0.886,43,71,114,101,25,9,40,24,480
Jamal Cain,PF,24,MIA,8,0,113,13,29,0.448,4,15,0.267,9,14,0.643,0.517,7,11,0.636,5,7,12,1,6,2,2,6,37
Kentavious Caldwell-Pope,SG,30,DEN,25,25,822,91,202,0.45,36,89,0.404,55,113,0.487,0.54,46,51,0.902,10,38,48,63,36,11,30,51,264
Toumani Camara,PF,23,POR,24,15,614,65,162,0.401,20,75,0.267,45,87,0.517,0.463,23,33,0.697,48,64,112,27,21,13,25,70,173
Clint Capela,C,29,ATL,24,24,621,119,206,0.578,0,0,,119,206,0.578,0.578,37,58,0.638,117,136,253,26,15,41,20,63,275
Jevon Carter,PG,28,CHI,27,0,379,52,139,0.374,30,88,0.341,22,51,0.431,0.482,0,1,0,4,15,19,35,14,7,17,33,134
Wendell Carter Jr.,C,24,ORL,5,5,147,17,45,0.378,5,16,0.313,12,29,0.414,0.433,8,14,0.571,11,32,43,8,3,2,8,14,47
Alex Caruso,SG,29,CHI,21,10,475,69,129,0.535,34,72,0.472,35,57,0.614,0.667,24,31,0.774,25,43,68,47,26,16,27,45,196
Colin Castleton,C,23,LAL,4,0,28,5,8,0.625,0,0,,5,8,0.625,0.625,2,2,1,3,4,7,3,0,0,0,5,12
Malcolm Cazalon,SG,22,DET,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
Julian Champagnie,SF,22,SAS,17,5,228,27,79,0.342,20,58,0.345,7,21,0.333,0.468,8,11,0.727,5,22,27,14,7,10,13,16,82
Max Christie,SG,20,LAL,21,6,361,36,93,0.387,13,43,0.302,23,50,0.46,0.457,10,14,0.714,3,51,54,22,8,4,15,30,95
Sidy Cissoko,SF,19,SAS,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0
Jordan Clarkson,SG,31,UTA,19,19,586,115,288,0.399,31,105,0.295,84,183,0.459,0.453,55,66,0.833,24,40,64,94,16,3,57,27,316
Nic Claxton,C,24,BRK,16,16,435,86,134,0.642,1,1,1,85,133,0.639,0.646,22,35,0.629,51,99,150,23,7,37,13,41,195
Noah Clowney,PF,19,BRK,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0
Amir Coffey,SF,26,LAC,13,1,113,12,31,0.387,5,17,0.294,7,14,0.5,0.468,6,7,0.857,4,9,13,4,1,0,3,10,35
John Collins,PF,26,UTA,22,22,683,121,251,0.482,31,81,0.383,90,170,0.529,0.544,45,60,0.75,59,130,189,20,14,21,31,62,318
Zach Collins,C,26,SAS,24,20,656,117,245,0.478,26,90,0.289,91,155,0.587,0.531,55,68,0.809,49,95,144,84,15,14,61,81,315
Mike Conley,PG,36,MIN,24,24,706,91,202,0.45,53,124,0.427,38,78,0.487,0.582,35,37,0.946,10,62,72,148,23,2,24,42,270
Pat Connaughton,SF,31,MIL,19,0,429,40,92,0.435,21,60,0.35,19,32,0.594,0.549,9,13,0.692,13,54,67,38,9,4,14,20,110
Bilal Coulibaly,SF,19,WAS,23,1,620,82,153,0.536,30,69,0.435,52,84,0.619,0.634,25,40,0.625,17,80,97,39,26,16,39,42,219
Robert Covington,SF-PF,33,TOT,24,6,417,38,86,0.442,19,52,0.365,19,34,0.559,0.552,21,24,0.875,28,58,86,20,31,16,10,44,116
Robert Covington,PF,33,LAC,3,3,69,3,9,0.333,2,8,0.25,1,1,1,0.444,1,2,0.5,2,6,8,7,6,2,0,7,9
Robert Covington,SF,33,PHI,21,3,348,35,77,0.455,17,44,0.386,18,33,0.545,0.565,20,22,0.909,26,52,78,13,25,14,10,37,107
Torrey Craig,SF,33,CHI,27,7,572,59,139,0.424,29,76,0.382,30,63,0.476,0.529,18,23,0.783,50,80,130,28,17,10,16,68,165
Jae Crowder,PF,33,MIL,9,2,240,25,47,0.532,16,31,0.516,9,16,0.563,0.702,7,12,0.583,4,31,35,15,7,3,4,14,73
