Year,firstName,lastName,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
22-23,Precious,Achiuwa,C,23,TOR,55,12,1140,196,404,0.485,29,108,0.269,167,296,0.564,0.521,87,124,0.702,100,228,328,50,31,30,59,102,508
22-23,Steven,Adams,C,29,MEM,42,42,1133,157,263,0.597,0,1,0,157,262,0.599,0.597,47,129,0.364,214,271,485,97,36,46,79,98,361
22-23,Bam,Adebayo,C,25,MIA,75,75,2598,602,1114,0.54,1,12,0.083,601,1102,0.545,0.541,324,402,0.806,184,504,688,240,88,61,187,208,1529
22-23,Ochai,Agbaji,SG,22,UTA,59,22,1209,165,386,0.427,81,228,0.355,84,158,0.532,0.532,56,69,0.812,43,78,121,67,16,15,41,99,467
22-23,Santi,Aldama,PF,22,MEM,77,20,1682,247,525,0.47,94,266,0.353,153,259,0.591,0.56,108,144,0.75,85,286,371,97,45,48,60,143,696
22-23,Nickeil,Alexander-Walker,SG,24,TOT,59,3,884,131,295,0.444,61,159,0.384,70,136,0.515,0.547,40,60,0.667,15,86,101,108,32,21,55,88,363
22-23,Nickeil,Alexander-Walker,SG,24,UTA,36,3,528,83,170,0.488,35,87,0.402,48,83,0.578,0.591,27,39,0.692,8,51,59,76,24,14,45,58,228
22-23,Nickeil,Alexander-Walker,SG,24,MIN,23,0,356,48,125,0.384,26,72,0.361,22,53,0.415,0.488,13,21,0.619,7,35,42,32,8,7,10,30,135
22-23,Grayson,Allen,SG,27,MIL,72,70,1972,245,557,0.44,146,366,0.399,99,191,0.518,0.571,114,126,0.905,61,176,237,163,62,14,72,117,750
22-23,Jarrett,Allen,C,24,CLE,68,68,2220,403,626,0.644,1,10,0.1,402,616,0.653,0.645,162,221,0.733,221,445,666,113,54,84,93,153,969
22-23,Jose,Alvarado,PG,24,NOP,61,10,1310,201,489,0.411,83,247,0.336,118,242,0.488,0.496,65,80,0.813,28,113,141,186,67,10,81,125,550
22-23,Kyle,Anderson,PF,29,MIN,69,46,1957,252,495,0.509,43,105,0.41,209,390,0.536,0.553,100,136,0.735,66,302,368,335,78,63,103,146,647
22-23,Giannis,Antetokounmpo,PF,28,MIL,63,63,2024,707,1278,0.553,47,171,0.275,660,1107,0.596,0.572,498,772,0.645,137,605,742,359,52,51,246,197,1959
22-23,Thanasis,Antetokounmpo,PF,30,MIL,37,0,206,20,46,0.435,0,8,0,20,38,0.526,0.435,11,22,0.5,15,29,44,15,3,3,12,22,51
22-23,Cole,Anthony,PG,22,ORL,60,4,1552,277,610,0.454,75,206,0.364,202,404,0.5,0.516,152,170,0.894,47,241,288,235,37,31,91,158,781
22-23,OG,Anunoby,SF,25,TOR,67,67,2386,421,885,0.476,142,367,0.387,279,518,0.539,0.556,140,167,0.838,95,237,332,131,128,50,132,200,1124
22-23,Ryan,Arcidiacono,PG,28,TOT,20,4,172,9,37,0.243,8,23,0.348,1,14,0.071,0.351,0,0,,0,15,15,23,5,0,7,17,26
22-23,Ryan,Arcidiacono,PG,28,NYK,11,0,26,1,5,0.2,1,3,0.333,0,2,0,0.3,0,0,,0,4,4,2,2,0,1,3,3
22-23,Ryan,Arcidiacono,PG,28,POR,9,4,146,8,32,0.25,7,20,0.35,1,12,0.083,0.359,0,0,,0,11,11,21,3,0,6,14,23
22-23,Deni,Avdija,SF,22,WAS,76,40,2020,253,579,0.437,69,232,0.297,184,347,0.53,0.497,122,165,0.739,74,413,487,211,65,29,123,209,697
22-23,Deandre,Ayton,C,24,PHO,67,67,2035,522,887,0.589,7,24,0.292,515,863,0.597,0.592,152,200,0.76,172,495,667,115,37,53,120,190,1203
22-23,Udoka,Azubuike,C,23,UTA,36,4,359,59,72,0.819,0,0,,59,72,0.819,0.819,7,20,0.35,31,88,119,11,6,15,18,34,125
22-23,Marvin,Bagley,C,23,DET,42,25,990,202,382,0.529,19,66,0.288,183,316,0.579,0.554,81,108,0.75,94,175,269,36,19,30,46,81,504
22-23,Patrick,Baldwin,SF,20,GSW,31,0,226,43,109,0.394,32,84,0.381,11,25,0.44,0.541,4,6,0.667,1,39,40,11,6,4,11,14,122
22-23,LaMelo,Ball,PG,21,CHO,36,36,1268,296,721,0.411,144,383,0.376,152,338,0.45,0.51,102,122,0.836,42,189,231,304,46,11,129,118,838
22-23,Mo,Bamba,C,24,TOT,49,7,769,117,241,0.485,48,124,0.387,69,117,0.59,0.585,41,62,0.661,58,167,225,46,13,43,30,105,323
22-23,Mo,Bamba,C,24,ORL,40,6,681,106,214,0.495,43,108,0.398,63,106,0.594,0.596,35,51,0.686,47,137,184,42,12,38,22,86,290
22-23,Mo,Bamba,C,24,LAL,9,1,88,11,27,0.407,5,16,0.313,6,11,0.545,0.5,6,11,0.545,11,30,41,4,1,5,8,19,33
22-23,Paolo,Banchero,PF,20,ORL,72,72,2430,479,1122,0.427,85,285,0.298,394,837,0.471,0.465,394,534,0.738,84,413,497,269,60,39,200,160,1437
22-23,Desmond,Bane,SG,24,MEM,58,58,1841,450,939,0.479,166,407,0.408,284,532,0.534,0.568,181,205,0.883,43,248,291,254,56,22,126,150,1247
22-23,Dalano,Banton,PG,23,TOR,31,2,279,55,130,0.423,15,51,0.294,40,79,0.506,0.481,17,24,0.708,11,34,45,36,13,13,18,34,142
22-23,Dominick,Barlow,PF,19,SAS,28,0,408,46,86,0.535,0,4,0,46,82,0.561,0.535,18,25,0.72,46,56,102,24,10,19,15,56,110
22-23,Harrison,Barnes,PF,30,SAC,82,82,2662,374,791,0.473,132,353,0.374,242,438,0.553,0.556,350,413,0.847,87,279,366,128,57,10,86,103,1230
22-23,Scottie,Barnes,SF,21,TOR,77,76,2678,463,1016,0.456,63,224,0.281,400,792,0.505,0.487,190,246,0.772,179,333,512,371,83,61,154,170,1179
22-23,RJ,Barrett,SG,22,NYK,73,73,2475,510,1176,0.434,121,390,0.31,389,786,0.495,0.485,290,392,0.74,60,308,368,201,31,15,164,179,1431
22-23,Will,Barton,SG,32,TOT,56,2,993,138,364,0.379,66,180,0.367,72,184,0.391,0.47,37,47,0.787,15,122,137,112,28,13,48,56,379
22-23,Will,Barton,SG,32,WAS,40,0,782,110,285,0.386,52,138,0.377,58,147,0.395,0.477,35,45,0.778,10,101,111,95,17,10,45,39,307
22-23,Will,Barton,SG,32,TOR,16,2,211,28,79,0.354,14,42,0.333,14,37,0.378,0.443,2,2,1,5,21,26,17,11,3,3,17,72
22-23,Charles,Bassey,C,22,SAS,35,2,508,87,135,0.644,3,8,0.375,84,127,0.661,0.656,22,37,0.595,75,118,193,47,16,33,41,74,199
22-23,Keita,Bates-Diop,PF,27,SAS,67,42,1452,236,465,0.508,56,142,0.394,180,323,0.557,0.568,119,150,0.793,65,183,248,103,46,20,56,63,647
22-23,Nicolas,Batum,PF,34,LAC,78,19,1709,160,381,0.42,124,317,0.391,36,64,0.563,0.583,34,48,0.708,62,237,299,121,54,44,50,149,478
22-23,Darius,Bazley,C,22,TOT,43,1,616,83,183,0.454,20,53,0.377,63,130,0.485,0.508,38,70,0.543,34,104,138,38,22,34,27,44,224
22-23,Darius,Bazley,C,22,OKC,36,1,555,71,158,0.449,18,45,0.4,53,113,0.469,0.506,36,65,0.554,29,93,122,32,19,29,22,35,196
22-23,Darius,Bazley,C,22,PHO,7,0,61,12,25,0.48,2,8,0.25,10,17,0.588,0.52,2,5,0.4,5,11,16,6,3,5,5,9,28
22-23,Bradley,Beal,SG,29,WAS,50,50,1673,444,878,0.506,80,219,0.365,364,659,0.552,0.551,192,228,0.842,41,155,196,271,45,33,145,107,1160
22-23,Malik,Beasley,SG,26,TOT,81,27,2093,370,937,0.395,235,658,0.357,135,279,0.484,0.52,50,65,0.769,35,248,283,124,65,9,90,107,1025
22-23,Malik,Beasley,SG,26,UTA,55,13,1472,265,669,0.396,169,471,0.359,96,198,0.485,0.522,37,44,0.841,27,170,197,93,44,8,60,75,736
22-23,Malik,Beasley,SG,26,LAL,26,14,621,105,268,0.392,66,187,0.353,39,81,0.481,0.515,13,21,0.619,8,78,86,31,21,1,30,32,289
22-23,MarJon,Beauchamp,SF,22,MIL,52,11,701,96,243,0.395,47,142,0.331,49,101,0.485,0.492,27,37,0.73,38,77,115,35,21,7,45,71,266
22-23,D?vis,Bert?ns,PF,30,DAL,45,1,492,69,160,0.431,55,141,0.39,14,19,0.737,0.603,13,15,0.867,10,43,53,21,11,8,10,53,206
22-23,Patrick,Beverley,SG-PG,34,TOT,67,67,1816,144,360,0.4,80,239,0.335,64,121,0.529,0.511,47,65,0.723,44,203,247,194,63,41,60,187,415
22-23,Patrick,Beverley,SG,34,LAL,45,45,1211,97,241,0.402,55,158,0.348,42,83,0.506,0.517,39,50,0.78,24,116,140,118,40,25,42,124,288
22-23,Patrick,Beverley,PG,34,CHI,22,22,605,47,119,0.395,25,81,0.309,22,38,0.579,0.5,8,15,0.533,20,87,107,76,23,16,18,63,127
22-23,Saddiq,Bey,SF,23,TOT,77,37,2129,353,836,0.422,151,418,0.361,202,418,0.483,0.513,205,238,0.861,98,264,362,118,70,13,71,123,1062
22-23,Saddiq,Bey,SF,23,DET,52,30,1500,245,606,0.404,101,293,0.345,144,313,0.46,0.488,180,209,0.861,59,183,242,84,50,12,54,86,771
22-23,Saddiq,Bey,SF,23,ATL,25,7,629,108,230,0.47,50,125,0.4,58,105,0.552,0.578,25,29,0.862,39,81,120,34,20,1,17,37,291
22-23,Khem,Birch,C,30,TOR,20,0,162,19,32,0.594,1,2,0.5,18,30,0.6,0.609,4,5,0.8,8,17,25,7,5,5,8,24,43
22-23,Goga,Bitadze,C,23,TOT,38,1,457,69,125,0.552,6,26,0.231,63,99,0.636,0.576,23,42,0.548,61,76,137,39,16,26,22,64,167
22-23,Goga,Bitadze,C,23,IND,21,0,202,27,52,0.519,4,14,0.286,23,38,0.605,0.558,11,24,0.458,25,24,49,18,9,10,12,34,69
22-23,Goga,Bitadze,C,23,ORL,17,1,255,42,73,0.575,2,12,0.167,40,61,0.656,0.589,12,18,0.667,36,52,88,21,7,16,10,30,98
22-23,Bismack,Biyombo,C,30,PHO,61,14,874,119,206,0.578,0,0,,119,206,0.578,0.578,25,70,0.357,89,171,260,56,18,88,51,114,263
22-23,Buddy,Boeheim,SF,23,DET,10,0,90,5,27,0.185,4,25,0.16,1,2,0.5,0.259,2,2,1,2,4,6,4,2,0,0,6,16
22-23,Bogdan,Bogdanovi?,SG,30,ATL,54,9,1508,273,611,0.447,146,360,0.406,127,251,0.506,0.566,64,77,0.831,23,142,165,150,43,18,65,86,756
22-23,Bojan,Bogdanovi?,PF,33,DET,59,59,1893,430,882,0.488,145,353,0.411,285,529,0.539,0.57,268,303,0.884,36,187,223,152,34,8,135,113,1273
22-23,Bol,Bol,PF,23,ORL,70,33,1505,261,478,0.546,30,113,0.265,231,365,0.633,0.577,82,108,0.759,69,336,405,69,30,85,112,92,634
22-23,Leandro,Bolmaro,SF,22,UTA,14,0,68,3,20,0.15,0,4,0,3,16,0.188,0.15,0,0,,4,3,7,7,3,1,7,10,6
22-23,Devin,Booker,SG,26,PHO,53,53,1835,527,1067,0.494,111,316,0.351,416,751,0.554,0.546,306,358,0.855,46,194,240,293,51,18,145,159,1471
22-23,Brandon,Boston,SF,21,LAC,22,1,248,51,122,0.418,12,29,0.414,39,93,0.419,0.467,29,38,0.763,7,23,30,20,9,0,12,21,143
22-23,Chris,Boucher,PF,30,TOR,76,0,1523,261,529,0.493,62,189,0.328,199,340,0.585,0.552,128,168,0.762,157,264,421,29,47,64,41,143,712
22-23,James,Bouknight,SG,22,CHO,34,0,515,69,193,0.358,33,109,0.303,36,84,0.429,0.443,20,30,0.667,8,64,72,41,14,5,32,49,191
22-23,Jamaree,Bouyea,PG,23,TOT,5,0,71,6,14,0.429,2,6,0.333,4,8,0.5,0.5,1,2,0.5,1,5,6,4,4,2,4,6,15
22-23,Jamaree,Bouyea,PG,23,MIA,4,0,65,6,13,0.462,2,5,0.4,4,8,0.5,0.538,1,2,0.5,1,4,5,4,4,2,4,5,15
22-23,Jamaree,Bouyea,PG,23,WAS,1,0,6,0,1,0,0,1,0,0,0,,0,0,0,,0,1,1,0,0,0,0,1,0
22-23,Tony,Bradley,C,25,CHI,12,0,33,6,12,0.5,3,5,0.6,3,7,0.429,0.625,4,4,1,1,10,11,1,1,1,1,2,19
22-23,Malaki,Branham,SG,19,SAS,66,32,1550,269,611,0.44,77,255,0.302,192,356,0.539,0.503,58,70,0.829,28,153,181,127,33,7,76,115,673
22-23,Jarrell,Brantley,PF,26,UTA,4,0,39,8,14,0.571,4,9,0.444,4,5,0.8,0.714,2,2,1,1,5,6,3,0,2,2,3,22
22-23,Christian,Braun,SG,21,DEN,76,6,1181,143,289,0.495,34,96,0.354,109,193,0.565,0.554,40,64,0.625,48,133,181,59,41,17,35,101,360
22-23,Mikal,Bridges,SF-SG,26,TOT,83,83,2963,593,1267,0.468,169,442,0.382,424,825,0.514,0.535,316,353,0.895,79,285,364,273,91,61,127,159,1671
22-23,Mikal,Bridges,SF,26,PHO,56,56,2040,354,764,0.463,101,261,0.387,253,503,0.503,0.529,156,174,0.897,56,187,243,201,65,45,78,115,965
22-23,Mikal,Bridges,SG,26,BRK,27,27,923,239,503,0.475,68,181,0.376,171,322,0.531,0.543,160,179,0.894,23,98,121,72,26,16,49,44,706
22-23,Oshae,Brissett,PF,24,IND,65,2,1083,123,319,0.386,48,155,0.31,75,164,0.457,0.461,104,145,0.717,62,156,218,44,33,13,34,79,398
22-23,Malcolm,Brogdon,PG,30,BOS,67,0,1744,354,732,0.484,132,297,0.444,222,435,0.51,0.574,160,184,0.87,42,238,280,248,45,18,98,109,1000
22-23,Dillon,Brooks,SF,27,MEM,73,73,2214,392,991,0.396,143,439,0.326,249,552,0.451,0.468,120,154,0.779,45,199,244,189,65,16,104,240,1047
22-23,Bruce,Brown,SF,26,DEN,80,31,2280,358,741,0.483,91,254,0.358,267,487,0.548,0.545,116,153,0.758,63,265,328,268,87,51,123,190,923
22-23,Greg,Brown,PF,21,POR,16,0,93,11,28,0.393,1,7,0.143,10,21,0.476,0.411,5,12,0.417,2,17,19,3,4,5,6,13,28
22-23,Jaylen,Brown,SF,26,BOS,67,67,2405,679,1383,0.491,163,487,0.335,516,896,0.576,0.55,263,344,0.765,78,381,459,232,75,26,197,172,1784
22-23,Kendall,Brown,SG,19,IND,6,0,40,4,7,0.571,0,1,0,4,6,0.667,0.571,1,2,0.5,2,4,6,3,4,0,2,9,9
22-23,Moses,Brown,C,23,TOT,36,1,294,61,96,0.635,0,0,,61,96,0.635,0.635,33,72,0.458,57,82,139,4,4,14,15,39,155
22-23,Moses,Brown,C,23,LAC,34,1,288,61,96,0.635,0,0,,61,96,0.635,0.635,33,72,0.458,57,82,139,4,3,14,14,38,155
22-23,Moses,Brown,C,23,BRK,2,0,6,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,1,0,1,1,0
22-23,Sterling,Brown,SF,27,LAL,4,0,24,0,4,0,0,2,0,0,2,0,0,0,0,,3,5,8,2,3,0,0,4,0
22-23,Troy,Brown,SF,23,LAL,76,45,1860,200,465,0.43,107,281,0.381,93,184,0.505,0.545,34,39,0.872,62,246,308,95,59,16,49,120,541
22-23,Jalen,Brunson,PG,26,NYK,68,68,2379,587,1195,0.491,134,322,0.416,453,873,0.519,0.547,325,392,0.829,40,201,241,421,61,15,142,152,1633
22-23,Thomas,Bryant,C,25,TOT,59,26,1081,230,369,0.623,26,59,0.441,204,310,0.658,0.659,93,126,0.738,86,253,339,31,16,30,38,102,579
22-23,Thomas,Bryant,C,25,LAL,41,25,876,197,301,0.654,22,50,0.44,175,251,0.697,0.691,80,108,0.741,67,212,279,29,14,23,28,77,496
22-23,Thomas,Bryant,C,25,DEN,18,1,205,33,68,0.485,4,9,0.444,29,59,0.492,0.515,13,18,0.722,19,41,60,2,2,7,10,25,83
22-23,Reggie,Bullock,SF,31,DAL,78,55,2364,192,470,0.409,151,397,0.38,41,73,0.562,0.569,26,37,0.703,32,251,283,108,54,13,36,166,561
22-23,Alec,Burks,SG,31,DET,51,8,1122,200,459,0.436,99,239,0.414,101,220,0.459,0.544,153,188,0.814,19,139,158,114,38,8,58,98,652
22-23,Deonte,Burton,PF,29,SAC,2,0,6,0,2,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,0,0,0,0,0
22-23,Jared,Butler,PG,22,OKC,6,1,77,15,32,0.469,7,14,0.5,8,18,0.444,0.578,0,0,,1,3,4,8,5,0,5,5,37
22-23,Jimmy,Butler,PF,33,MIA,64,64,2138,479,888,0.539,36,103,0.35,443,785,0.564,0.56,472,555,0.85,141,234,375,340,117,21,101,80,1466
22-23,John,Butler,C,20,POR,19,1,221,17,53,0.321,8,35,0.229,9,18,0.5,0.396,3,4,0.75,3,14,17,11,7,9,1,22,45
22-23,Jamal,Cain,PF,23,MIA,18,0,240,37,66,0.561,7,20,0.35,30,46,0.652,0.614,17,22,0.773,15,37,52,12,11,1,6,21,98
22-23,Kentavious,Caldwell-Pope,SG,29,DEN,76,76,2381,292,632,0.462,135,319,0.423,157,313,0.502,0.569,103,125,0.824,35,173,208,183,112,35,86,145,822
22-23,Facundo,Campazzo,PG,31,DAL,8,0,52,3,13,0.231,3,11,0.273,0,2,0,0.346,1,2,0.5,0,2,2,9,6,0,3,3,10
22-23,Vlatko,?an?ar,PF,25,DEN,60,9,889,108,227,0.476,43,115,0.374,65,112,0.58,0.57,38,41,0.927,24,104,128,80,22,14,37,84,297
22-23,Clint,Capela,C,28,ATL,65,63,1730,350,536,0.653,0,1,0,350,535,0.654,0.653,79,131,0.603,258,459,717,58,45,79,54,139,779
22-23,Vernon,Carey,C,21,WAS,11,0,28,2,8,0.25,0,0,,2,8,0.25,0.25,2,2,1,3,8,11,3,2,2,2,5,6
22-23,Jevon,Carter,PG,27,MIL,81,39,1810,239,565,0.423,142,337,0.421,97,228,0.425,0.549,31,38,0.816,35,167,202,197,66,29,78,158,651
22-23,Wendell,Carter,C,23,ORL,57,54,1690,322,613,0.525,80,225,0.356,242,388,0.624,0.591,144,195,0.738,120,377,497,132,30,33,106,159,868
22-23,Michael,Carter-Williams,PG,31,ORL,4,0,44,6,14,0.429,1,3,0.333,5,11,0.455,0.464,4,7,0.571,1,4,5,7,1,1,4,5,17
22-23,Alex,Caruso,PG,28,CHI,67,36,1575,130,286,0.455,55,151,0.364,75,135,0.556,0.551,59,73,0.808,42,154,196,193,98,46,77,159,374
22-23,Julian,Champagnie,SF,21,TOT,17,3,320,59,130,0.454,33,82,0.402,26,48,0.542,0.581,14,17,0.824,10,50,60,10,6,5,11,26,165
22-23,Julian,Champagnie,SF,21,PHI,2,0,7,0,2,0,0,1,0,0,1,0,0,0,0,,0,0,0,0,1,0,0,0,0
22-23,Julian,Champagnie,SF,21,SAS,15,3,313,59,128,0.461,33,81,0.407,26,47,0.553,0.59,14,17,0.824,10,50,60,10,5,5,11,26,165
22-23,Justin,Champagnie,SF,21,TOT,5,0,34,5,15,0.333,1,5,0.2,4,10,0.4,0.367,0,0,,3,5,8,4,1,0,0,2,11
22-23,Justin,Champagnie,SF,21,TOR,3,0,11,3,3,1,0,0,,3,3,1,1,0,0,,1,3,4,1,0,0,0,1,6
22-23,Justin,Champagnie,SF,21,BOS,2,0,23,2,12,0.167,1,5,0.2,1,7,0.143,0.208,0,0,,2,2,4,3,1,0,0,1,5
22-23,Kennedy,Chandler,PG,20,MEM,36,0,281,35,83,0.422,2,15,0.133,33,68,0.485,0.434,6,13,0.462,9,29,38,58,12,5,18,15,78
22-23,Max,Christie,SG,19,LAL,41,3,512,44,106,0.415,26,62,0.419,18,44,0.409,0.538,14,16,0.875,7,68,75,21,9,7,13,33,128
22-23,Josh,Christopher,SG,21,HOU,64,2,786,153,329,0.465,21,89,0.236,132,240,0.55,0.497,45,60,0.75,20,51,71,73,33,15,60,59,372
22-23,Brandon,Clarke,PF,26,MEM,56,8,1090,229,349,0.656,1,6,0.167,228,343,0.665,0.658,99,137,0.723,92,218,310,72,34,37,55,131,558
22-23,Jordan,Clarkson,SG,30,UTA,61,61,1988,458,1031,0.444,155,459,0.338,303,572,0.53,0.519,200,245,0.816,72,174,246,270,33,13,186,120,1271
22-23,Nic,Claxton,C,23,BRK,76,76,2271,414,587,0.705,0,2,0,414,585,0.708,0.705,133,246,0.541,184,518,702,144,65,189,96,212,961
22-23,Amir,Coffey,SF,25,LAC,50,9,625,56,145,0.386,11,40,0.275,45,105,0.429,0.424,49,63,0.778,17,36,53,53,7,5,21,50,172
22-23,John,Collins,PF,25,ATL,71,71,2130,359,707,0.508,70,240,0.292,289,467,0.619,0.557,143,178,0.803,77,385,462,85,42,73,79,220,931
22-23,Zach,Collins,C,25,SAS,63,26,1441,284,548,0.518,55,147,0.374,229,401,0.571,0.568,108,142,0.761,116,286,402,180,37,49,129,199,731
22-23,Chance,Comanche,C,26,POR,1,0,21,3,5,0.6,0,0,,3,5,0.6,0.6,1,4,0.25,2,1,3,0,0,1,0,0,7
22-23,Mike,Conley,PG,35,TOT,67,66,2029,261,610,0.428,135,351,0.385,126,259,0.486,0.539,141,169,0.834,33,149,182,450,73,14,103,139,798
22-23,Mike,Conley,PG,35,UTA,43,42,1276,153,375,0.408,77,213,0.362,76,162,0.469,0.511,78,96,0.813,17,90,107,330,44,10,74,94,461
22-23,Mike,Conley,PG,35,MIN,24,24,753,108,235,0.46,58,138,0.42,50,97,0.515,0.583,63,73,0.863,16,59,75,120,29,4,29,45,337
22-23,Pat,Connaughton,SF,30,MIL,61,33,1443,165,421,0.392,109,322,0.339,56,99,0.566,0.521,27,41,0.659,50,233,283,77,37,11,33,69,466
22-23,Xavier,Cooks,PF,27,WAS,10,1,126,17,28,0.607,0,1,0,17,27,0.63,0.607,4,10,0.4,16,22,38,6,6,4,8,13,38
22-23,Robert,Covington,PF,32,LAC,48,0,779,102,229,0.445,54,136,0.397,48,93,0.516,0.563,30,40,0.75,31,135,166,57,38,33,32,86,288
22-23,Torrey,Craig,PF,32,PHO,79,60,1948,228,500,0.456,100,253,0.395,128,247,0.518,0.556,32,45,0.711,145,281,426,117,50,62,73,179,588
22-23,Jae,Crowder,PF,32,MIL,18,3,340,45,94,0.479,24,55,0.436,21,39,0.538,0.606,10,12,0.833,17,52,69,27,12,6,7,27,124
22-23,Jarrett,Culver,SF,23,ATL,10,1,137,17,43,0.395,1,12,0.083,16,31,0.516,0.407,9,13,0.692,10,28,38,6,6,2,7,14,44
22-23,Cade,Cunningham,PG,21,DET,12,12,400,93,224,0.415,17,61,0.279,76,163,0.466,0.453,36,43,0.837,12,62,74,72,10,7,39,34,239
22-23,Seth,Curry,SG,32,BRK,61,7,1211,208,449,0.463,94,232,0.405,114,217,0.525,0.568,51,55,0.927,13,87,100,99,36,7,51,96,561
22-23,Stephen,Curry,PG,34,GSW,56,56,1941,559,1133,0.493,273,639,0.427,286,494,0.579,0.614,257,281,0.915,39,302,341,352,52,20,179,117,1648
22-23,Dyson,Daniels,PG,19,NOP,59,11,1042,87,208,0.418,27,86,0.314,60,122,0.492,0.483,26,40,0.65,36,152,188,134,43,11,57,99,227
22-23,Anthony,Davis,C,29,LAL,56,54,1904,542,962,0.563,19,74,0.257,523,888,0.589,0.573,348,444,0.784,195,507,702,148,59,114,122,146,1451
22-23,Johnny,Davis,SG,20,WAS,28,5,423,66,171,0.386,17,70,0.243,49,101,0.485,0.436,14,27,0.519,10,55,65,28,10,8,17,48,163
22-23,Terence,Davis,SG,25,SAC,64,5,841,154,364,0.423,89,243,0.366,65,121,0.537,0.545,34,43,0.791,20,119,139,67,43,12,53,104,431
22-23,JD,Davison,SG,20,BOS,12,0,66,8,19,0.421,2,7,0.286,6,12,0.5,0.474,1,2,0.5,2,7,9,11,2,2,4,5,19
22-23,Darius,Days,SF,23,HOU,4,0,25,5,12,0.417,3,10,0.3,2,2,1,0.542,2,2,1,1,5,6,1,0,1,0,2,15
22-23,Dewayne,Dedmon,C,33,TOT,38,1,426,77,151,0.51,12,39,0.308,65,112,0.58,0.55,33,49,0.673,34,100,134,26,9,19,25,75,199
22-23,Dewayne,Dedmon,C,33,MIA,30,0,350,64,129,0.496,11,37,0.297,53,92,0.576,0.539,32,44,0.727,28,81,109,16,7,14,19,61,171
22-23,Dewayne,Dedmon,C,33,PHI,8,1,76,13,22,0.591,1,2,0.5,12,20,0.6,0.614,1,5,0.2,6,19,25,10,2,5,6,14,28
22-23,Matthew,Dellavedova,PG,32,SAC,32,0,213,17,50,0.34,9,27,0.333,8,23,0.348,0.43,4,7,0.571,1,12,13,41,7,0,10,20,47
22-23,DeMar,DeRozan,SF,33,CHI,74,74,2682,657,1303,0.504,46,142,0.324,611,1161,0.526,0.522,456,523,0.872,34,309,343,377,83,36,153,186,1816
22-23,Moussa,Diabaté,C,21,LAC,22,1,195,24,47,0.511,1,2,0.5,23,45,0.511,0.521,10,16,0.625,31,19,50,4,7,8,9,15,59
22-23,Mamadi,Diakite,C,26,CLE,22,2,176,24,50,0.48,7,21,0.333,17,29,0.586,0.55,2,2,1,8,22,30,8,4,9,12,26,57
22-23,Hamidou,Diallo,SF,24,DET,56,0,996,215,375,0.573,5,21,0.238,210,354,0.593,0.58,87,148,0.588,57,137,194,55,53,16,71,124,522
22-23,Gorgui,Dieng,C,33,SAS,31,1,358,45,117,0.385,21,75,0.28,24,42,0.571,0.474,10,13,0.769,27,80,107,53,4,14,32,57,121
22-23,Ousmane,Dieng,PF,19,OKC,39,1,569,76,181,0.42,26,98,0.265,50,83,0.602,0.492,15,23,0.652,19,86,105,46,14,7,26,42,193
22-23,Spencer,Dinwiddie,SG-PG,29,TOT,79,79,2725,460,1050,0.438,181,490,0.369,279,560,0.498,0.524,268,330,0.812,28,242,270,515,67,24,145,187,1369
22-23,Spencer,Dinwiddie,SG,29,DAL,53,53,1808,316,694,0.455,138,341,0.405,178,353,0.504,0.555,170,207,0.821,19,144,163,279,39,16,90,124,940
22-23,Spencer,Dinwiddie,PG,29,BRK,26,26,917,144,356,0.404,43,149,0.289,101,207,0.488,0.465,98,123,0.797,9,98,107,236,28,8,55,63,429
22-23,Donte,DiVincenzo,SG,26,GSW,72,36,1894,235,540,0.435,150,378,0.397,85,162,0.525,0.574,58,71,0.817,80,245,325,252,97,10,112,133,678
22-23,Luka,Don?i?,PG,23,DAL,66,66,2391,719,1449,0.496,185,541,0.342,534,908,0.588,0.56,515,694,0.742,54,515,569,529,90,33,236,166,2138
22-23,Tyler,Dorsey,SF,26,DAL,3,0,8,4,5,0.8,1,2,0.5,3,3,1,0.9,0,0,,1,1,2,0,0,0,0,0,9
22-23,Luguentz,Dort,SF,23,OKC,74,73,2272,339,873,0.388,135,409,0.33,204,464,0.44,0.466,200,259,0.772,128,216,344,154,75,23,92,243,1013
22-23,Ayo,Dosunmu,SG,23,CHI,80,51,2098,281,570,0.493,59,189,0.312,222,381,0.583,0.545,66,82,0.805,45,175,220,206,62,26,99,182,687
22-23,Devon,Dotson,PG,23,WAS,6,0,53,1,10,0.1,1,4,0.25,0,6,0,0.15,0,0,,6,4,10,8,5,0,3,9,3
22-23,Jeff,Dowtin,PG,25,TOR,25,0,259,25,57,0.439,5,16,0.313,20,41,0.488,0.482,6,9,0.667,6,17,23,31,9,3,5,13,61
22-23,PJ,Dozier,SF,26,SAC,16,0,79,10,33,0.303,2,16,0.125,8,17,0.471,0.333,0,0,,1,13,14,10,6,1,5,7,22
22-23,Goran,Dragi?,PG,36,TOT,58,0,870,141,335,0.421,52,145,0.359,89,190,0.468,0.499,31,45,0.689,16,65,81,151,13,4,63,65,365
