Year,firstName,lastName,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
19-20,Shai,Gilgeous-Alexander,SG,21,OKC,70,70,2428,478,1015,0.471,87,251,0.347,391,764,0.512,0.514,288,357,0.807,47,365,412,232,79,47,134,117,1331
19-20,Rudy,Gobert,C,27,UTA,68,68,2333,386,557,0.693,0,0,,386,557,0.693,0.693,254,403,0.63,230,686,916,101,51,135,130,215,1026
19-20,Brandon,Goodwin,PG,24,ATL,34,1,430,76,190,0.4,26,87,0.299,50,103,0.485,0.468,28,30,0.933,11,61,72,51,12,4,29,43,206
19-20,Aaron,Gordon,PF,24,ORL,62,62,2017,335,767,0.437,73,237,0.308,262,530,0.494,0.484,151,224,0.674,107,368,475,228,51,39,100,125,894
19-20,Eric,Gordon,SF,31,HOU,36,15,1016,171,463,0.369,96,303,0.317,75,160,0.469,0.473,82,107,0.766,9,62,71,54,23,13,43,70,520
19-20,Devonte',Graham,PG,24,CHO,63,53,2211,368,963,0.382,218,585,0.373,150,378,0.397,0.495,191,233,0.82,42,170,212,471,62,15,181,115,1145
19-20,Treveon,Graham,SF,26,TOT,55,20,929,87,242,0.36,33,120,0.275,54,122,0.443,0.428,36,56,0.643,51,99,150,45,24,6,29,102,243
19-20,Treveon,Graham,SF,26,MIN,33,20,663,62,175,0.354,20,83,0.241,42,92,0.457,0.411,27,37,0.73,29,71,100,30,17,2,19,66,171
19-20,Treveon,Graham,SF,26,ATL,22,0,266,25,67,0.373,13,37,0.351,12,30,0.4,0.47,9,19,0.474,22,28,50,15,7,4,10,36,72
19-20,Jerami,Grant,PF,25,DEN,71,24,1892,303,634,0.478,98,252,0.389,205,382,0.537,0.555,147,196,0.75,58,190,248,88,50,57,63,154,851
19-20,Jerian,Grant,SG,27,WAS,6,0,80,10,27,0.37,2,8,0.25,8,19,0.421,0.407,5,7,0.714,2,4,6,9,1,1,3,11,27
19-20,Josh,Gray,PG,26,NOP,2,0,23,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,1,1,2,2,0,0,5,1,2
19-20,Danny,Green,SG,32,LAL,68,68,1687,197,474,0.416,120,327,0.367,77,147,0.524,0.542,33,48,0.688,51,174,225,91,85,32,63,136,547
19-20,Draymond,Green,PF,29,GSW,43,43,1222,123,316,0.389,36,129,0.279,87,187,0.465,0.446,63,83,0.759,23,243,266,266,59,33,98,110,345
19-20,JaMychal,Green,PF,29,LAC,63,1,1307,151,352,0.429,92,238,0.387,59,114,0.518,0.56,36,48,0.75,77,311,388,49,29,24,54,174,430
19-20,Javonte,Green,SG,26,BOS,48,2,468,63,126,0.5,9,33,0.273,54,93,0.581,0.536,28,42,0.667,24,69,93,26,24,8,23,43,163
19-20,Jeff,Green,PF-C,33,TOT,48,4,960,159,344,0.462,62,183,0.339,97,161,0.602,0.552,73,91,0.802,24,109,133,50,26,19,42,89,453
